mode,thr_star,f1_mean,f1_std,question_score_std_mean,question_score_std_std,answer_score_std_mean,answer_score_std_std,delta_f1_vs_full_mean
full,0.08,0.9079931934290258,0.008385825747025958,0.002886262252038061,0.00018352893430925433,0.15094152613119563,0.00757940565529095,0.0
no_judge,0.39,0.9210930909096778,0.00578359770979209,0.0021880879477496396,6.479233739937512e-05,0.15564185194897456,0.009559203001767902,-0.01309989748065199
no_mnli,0.24,0.9242985572450696,0.009840535396834642,0.005412596766028861,0.0005780247878276379,0.18288569278203917,0.002031130893421756,-0.01630536381604375
no_selfcheck,0.04,0.9107263974726592,0.009231712746240713,0.002287793120042085,0.0002791439367649432,0.14220833699956623,0.007761185852965581,-0.0027332040436333083
judge_only,0.58,0.9070204585939227,0.015817973941634856,0.01218686914692102,0.0015121322293066518,0.28237546077805503,0.008160441171946137,0.0009727348351031839
