mode,thr_star,f1_mean,f1_std,question_score_std_mean,question_score_std_std,answer_score_std_mean,answer_score_std_std,delta_f1_vs_full_mean
full,0.77,0.9763472295895484,0.004405212823199925,0.005583119968735593,0.0015796340082038112,0.32596482175708835,0.013889098166848825,0.0
no_judge,0.79,0.975796887809311,0.0010876640416571698,0.005862459128476501,0.0017708029768115187,0.3355633498707626,0.012796512046818885,0.0005503417802374955
no_mnli,0.73,0.9872772026685069,0.003548782163362856,0.005051943751455446,0.0011177710184641935,0.3030068534315649,0.017916549435597076,-0.010929973078958488
no_selfcheck,0.75,0.9755365648544686,0.0049419557697659355,0.005521542222370341,0.0015588624202129391,0.32239035692224555,0.014444939031439372,0.0008106647350798468
judge_only,0.79,0.9492229278485143,0.0034748886727265353,0.004616678919584383,0.000906569393021155,0.33855087384954374,0.012515328336912157,0.027124301741034196
