mode,thr_star,f1_mean,f1_std,question_score_std_mean,question_score_std_std,answer_score_std_mean,answer_score_std_std,delta_f1_vs_full_mean
full,0.77,0.9747159754918377,0.006116556101804193,6.140921104957898e-18,7.855571608826923e-19,0.3222089954340651,0.013880157249045883,0.0
no_judge,0.8300000000000001,0.9751444037022132,0.003963314687142911,8.222589276130064e-18,2.573166658932391e-18,0.3321032063368921,0.01341549426720064,-0.0004284282103754755
no_mnli,0.73,0.9884493550570439,0.002121625633880878,5.404031026482519e-06,3.821226984563382e-06,0.2993900736718124,0.018355769906918725,-0.01373337956520615
no_selfcheck,0.75,0.9747159754918377,0.006116556101804193,7.28583859910259e-18,6.212796952159376e-19,0.31769477470206414,0.014632131370120633,0.0
judge_only,0.79,0.9499671254801622,0.0026407935857855704,5.551115123125782e-18,9.064933036736788e-19,0.3345573079030097,0.01130147760414686,0.024748850011675594
