mode,thr_star,f1_mean,f1_std,question_score_std_mean,question_score_std_std,answer_score_std_mean,answer_score_std_std,delta_f1_vs_full_mean
full,0.77,0.9727241888982023,0.007469072522554531,0.0037627903736196858,0.0004797117282683455,0.325085940995903,0.014250330965269774,0.0
no_judge,0.79,0.9761573400665116,0.0026329607455022777,0.00394414953825827,0.0004140695759832635,0.33431878374924073,0.013518882124684712,-0.003433151168309223
no_mnli,0.73,0.9882000111903175,0.0026264222752788676,0.003652079450431577,0.00125734265027059,0.3032690255147991,0.018510210724131476,-0.015475822292115193
no_selfcheck,0.75,0.9727241888982023,0.007469072522554531,0.003773563588133846,0.000528068615595192,0.3208472745097354,0.014747956129599131,0.0
judge_only,0.79,0.9484112370840655,0.005184963793348411,0.00317602723442639,0.0022531035736413243,0.33828715907479445,0.01335049183474949,0.02431295181413684
