mode,thr_star,f1_mean,f1_std,question_score_std_mean,question_score_std_std,answer_score_std_mean,answer_score_std_std,delta_f1_vs_full_mean
full,0.77,0.97270618246178,0.006921229990529872,0.00296994299527056,0.0006176148544399583,0.32773652586481866,0.012386230411982356,0.0
no_judge,0.76,0.9685784326052677,0.009415569068842682,0.0029619600776391174,0.00032332510798181794,0.33693154230493366,0.013249444916451993,0.004127749856512319
no_mnli,0.73,0.9880048429393016,0.004356031253946868,0.0028948318793178894,0.0010245570068330263,0.30786041387522656,0.01523226948553076,-0.015298660477521597
no_selfcheck,0.75,0.97270618246178,0.006921229990529872,0.0028424126303537756,0.0007231829089421361,0.32403825453101404,0.012638748945593147,0.0
judge_only,0.79,0.946688124650941,0.004090464275794302,0.003130985333817768,0.0017714030527336284,0.34089162182101695,0.00878275469240577,0.02601805781083899
